Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps
Running,4/2/19 17:08,Baltimore Running,0.65,18,02:57.2,108,116,196,200,4:31,4:20,23,30,1.82,00:00.0,1
Running,4/2/19 17:02,Baltimore Running,0.65,19,02:58.1,109,119,196,202,4:33,4:25,24,29,1.81,00:00.0,1
Running,4/2/19 16:57,Baltimore Running,0.65,22,02:54.1,114,132,200,208,4:28,4:16,27,43,1.8,00:00.0,1
Running,4/2/19 16:30,Baltimore Running,2.09,138,0:14:13,130,161,182,194,6:49,4:50,78,115,1.3,00:25.9,3
Running,4/1/19 9:16,Baltimore Running,10.01,617,1:10:04,137,184,182,196,7:00,3:58,487,488,1.27,00:03.5,11
Running,3/31/19 9:12,Baltimore Running,17.08,"1,026",1:57:51,140,177,182,196,6:54,4:59,985,979,1.29,00:36.6,18
Running,3/30/19 15:57,Baltimore Running,10.08,610,1:12:37,133,160,178,190,7:12,6:02,905,896,1.25,00:41.1,11
Running,3/29/19 22:20,Running,3.1,--,0:15:16,--,--,--,--,4:55,--,--,--,0,00:00.0,1
Running,3/29/19 20:38,Richmond Running,1.8,214,0:15:23,156,176,174,182,8:33,4:04,121,122,1.09,06:57.8,2
Running,3/29/19 19:02,Richmond Running,2.09,177,0:14:52,142,173,180,194,7:06,5:43,192,173,1.25,00:47.5,3
Running,3/28/19 21:48,Baltimore Running,3,214,0:23:15,129,142,176,188,7:44,0:26,90,93,1.18,00:02.1,4
Running,3/28/19 9:53,New York Running,4,237,0:28:32,124,138,180,200,7:08,2:49,31,31,1.25,00:00.6,5
Running,3/27/19 8:58,Baltimore Running,10.01,901,1:09:59,155,179,184,200,7:00,4:26,682,674,1.25,00:02.2,11
Running,3/26/19 17:41,Baltimore Running,3,225,0:22:38,133,161,182,198,7:33,6:36,229,194,1.17,00:02.3,4
Running,3/26/19 16:55,Baltimore Running,4.87,306,0:23:38,152,173,192,212,4:51,4:02,79,87,1.72,04:04.0,5
Running,3/26/19 16:29,Baltimore Running,2.12,127,0:14:08,124,150,184,196,6:41,4:48,71,105,1.31,00:34.1,3
Running,3/26/19 9:47,Baltimore Running,4.06,231,0:28:30,122,144,186,194,7:01,4:42,483,473,1.23,00:24.3,5
Running,3/25/19 9:12,Baltimore Running,10,610,1:07:08,136,158,184,196,6:43,5:31,519,514,1.3,00:01.9,11
Running,3/24/19 10:48,Baltimore Running,17.5,"1,117",1:59:19,142,165,180,218,6:49,5:09,971,978,1.32,03:40.8,18
Running,3/23/19 9:13,Santurce Running,10,738,1:09:40,144,163,180,192,6:58,4:24,462,462,1.28,00:01.1,11
Running,3/21/19 19:08,Santurce Running,10,"1,034",1:13:03,164,170,176,186,7:18,5:12,449,449,1.25,06:53.7,10
Running,3/20/19 9:07,Santurce Running,10.03,667,1:22:41,130,149,174,182,8:15,6:05,475,477,1.12,00:18.4,11
Running,3/19/19 17:24,Isla Verde - Running,8,900,0:52:37,188,209,180,202,6:34,4:14,260,254,1.35,00:01.3,9
Running,3/19/19 17:04,Santurce - Running,1.99,200,0:13:53,158,187,184,190,6:58,6:10,56,60,1.26,06:53.0,2
Running,3/18/19 10:22,Running,1.55,--,0:09:30,--,--,--,--,6:08,--,--,--,0,00:00.0,1
Running,3/18/19 9:13,Santurce - Running,8.45,704,0:53:44,153,171,180,192,6:21,3:51,463,462,1.4,02:50.3,9
Running,3/17/19 8:40,Santurce - Running,17,"1,198",1:56:42,146,157,178,190,6:52,5:23,430,429,1.32,00:00.1,18
Running,3/16/19 17:38,Santurce - Running,10.23,679,1:11:48,138,158,178,192,7:01,0:25,541,541,1.29,01:41.8,11
Running,3/15/19 18:16,Baltimore - Running,10,612,1:09:08,135,154,178,192,6:55,5:41,516,516,1.31,06:42.8,10
Running,3/14/19 17:32,Baltimore - Running,1.98,172,0:14:50,141,153,176,188,7:29,6:32,106,60,1.22,07:21.3,2
Running,3/14/19 16:58,Baltimore - Running,5.9,392,0:30:05,154,165,186,194,5:06,4:33,58,62,1.7,04:37.2,6
Running,3/14/19 14:10,Running,2.6,--,0:19:00,--,--,--,--,7:18,--,--,--,0,00:00.0,1
Running,3/14/19 10:42,Baltimore - Running,3,219,0:21:05,135,154,180,188,7:02,4:15,120,114,1.27,06:54.4,3
Running,3/13/19 10:14,Baltimore - Running,10,600,1:10:28,133,152,180,190,7:03,5:56,694,705,1.27,06:52.8,10
Running,3/12/19 17:42,Baltimore - Running,2.84,200,0:22:12,128,144,176,194,7:50,6:07,171,150,1.17,05:51.6,3
Running,3/12/19 17:25,Baltimore - Running,1.16,88,07:31.0,143,182,180,210,6:28,3:44,32,37,1.37,00:41.5,2
Running,3/12/19 17:14,Baltimore - Running,2.08,84,0:10:03,124,170,190,198,4:50,2:43,86,89,1.75,00:21.9,3
Running,3/12/19 16:57,Baltimore - Running,2.09,60,0:10:05,105,132,190,198,4:50,4:34,56,62,1.74,00:24.4,3
Running,3/12/19 16:31,Baltimore - Running,2.12,127,0:13:52,126,150,182,194,6:33,4:53,83,118,1.35,00:34.5,3
Running,3/11/19 9:13,Baltimore - Running,10.02,564,1:01:33,134,169,184,196,6:09,4:44,724,714,1.42,00:09.1,11
Running,3/10/19 10:58,Philadelphia - Running,18.01,"1,220",1:58:32,149,180,176,188,6:35,1:36,506,505,1.38,00:01.6,19
Running,3/9/19 17:36,Philadelphia - Running,10.01,594,1:10:07,129,181,178,184,7:00,5:32,305,305,1.29,00:03.5,11
Running,3/8/19 20:03,Philadelphia - Running,4.08,456,0:32:21,156,182,176,186,7:56,4:55,184,184,1.15,00:38.6,5
Running,3/8/19 9:18,Boca Raton - Running,4,330,0:28:58,138,154,182,190,7:15,5:43,--,--,1.23,06:53.7,4
Running,3/7/19 17:36,Boca Raton - Running,8.5,595,0:56:07,144,170,178,188,6:36,5:14,41,31,1.37,03:31.5,9
Running,3/7/19 17:14,Boca Raton - Running,2.5,181,0:16:12,137,165,180,190,6:29,4:50,10,17,1.38,02:52.7,3
Running,3/6/19 11:09,Boca Raton - Running,4.01,266,0:27:51,130,141,178,186,6:57,3:04,7,7,1.3,00:02.7,5
Running,3/5/19 18:13,Boca Raton - Running,10,657,1:10:02,138,149,176,186,7:00,5:53,20,20,1.3,00:01.9,11
Running,3/4/19 9:14,Baltimore - Running,10,471,1:01:19,126,139,184,196,6:08,5:11,531,529,1.42,00:01.7,11
Running,3/3/19 10:10,Baltimore - Running,16.12,737,1:48:57,121,156,180,194,6:45,5:22,"1,026","1,021",1.32,00:51.0,17
Running,3/2/19 11:12,Baltimore - Running,10.08,653,1:08:24,137,163,180,192,6:47,5:49,434,428,1.32,00:31.4,11
Running,3/1/19 16:14,Baltimore - Running,11,657,1:16:03,136,154,178,190,6:55,6:02,546,546,1.3,00:01.8,12
Running,2/28/19 17:27,Baltimore - Running,4,206,0:28:32,119,133,176,194,7:08,5:54,178,140,1.28,00:02.0,5
Running,2/28/19 16:54,Baltimore - Running,5.21,212,0:25:36,125,159,188,196,4:55,4:17,138,137,1.74,00:56.6,6
Running,2/28/19 16:29,Baltimore - Running,2.09,137,0:13:58,131,138,180,188,6:40,4:44,68,112,1.35,00:28.3,3
Running,2/27/19 16:42,Baltimore Running,4.03,274,0:27:27,136,151,182,194,6:48,5:05,153,146,1.3,06:36.9,5
Running,2/27/19 10:17,Baltimore Running,9,611,1:02:19,139,158,178,186,6:55,5:48,764,763,1.31,06:35.7,10
Running,2/26/19 22:57,Running,2.25,--,0:16:00,--,--,--,--,7:07,--,--,--,0,00:00.0,1
Running,2/26/19 17:29,Baltimore Running,3.96,345,0:27:48,153,180,178,204,7:02,6:06,200,161,1.28,06:47.2,4
Running,2/26/19 16:55,Baltimore Running,4.63,280,0:23:39,146,160,188,208,5:07,2:32,135,147,1.68,04:58.5,5
Running,2/25/19 9:11,Baltimore Running,10.03,648,1:08:34,141,157,182,194,6:50,5:51,538,533,1.29,06:35.2,11
Running,2/24/19 6:47,Baltimore Running,15,795,1:52:08,129,154,176,184,7:28,4:59,818,822,1.23,06:04.9,16
Running,2/23/19 20:22,Running,3.1,--,0:15:36,--,--,--,--,5:02,--,--,--,0,00:00.0,1
Running,2/23/19 14:24,Manheim Running,3.63,262,0:26:43,135,152,178,186,7:22,6:41,87,84,1.23,07:11.6,4
Running,2/23/19 12:36,Lancaster Running,2.18,161,0:14:29,141,172,182,194,6:38,5:09,56,58,1.33,06:30.7,3
Running,2/22/19 16:34,Baltimore Running,7.01,320,0:46:00,123,157,182,226,6:34,3:48,403,416,1.35,06:02.1,8
Running,2/21/19 16:28,Baltimore Running,10.05,628,1:07:14,140,163,178,202,6:41,4:25,757,753,1.35,06:11.5,11
Running,2/21/19 10:34,Baltimore Running,4.08,359,0:27:48,158,168,180,190,6:49,5:18,270,266,1.31,06:41.4,5
Running,2/20/19 9:57,Baltimore Running,10,626,1:12:05,136,181,178,190,7:12,5:40,766,781,1.25,06:57.1,11
Running,2/19/19 17:31,Baltimore Running,4,435,0:28:51,177,198,180,198,7:13,5:32,195,155,1.23,07:06.7,4
Running,2/19/19 17:01,Baltimore Running,3.7,230,0:18:13,152,171,192,214,4:55,3:54,89,93,1.7,04:58.1,4
Running,2/19/19 16:35,Baltimore Running,2.06,153,0:13:44,140,170,182,192,6:40,5:11,71,108,1.32,06:23.7,3
Running,2/18/19 9:10,Baltimore Running,10.04,638,1:07:14,141,162,180,192,6:42,4:56,578,578,1.33,06:25.0,11
Running,2/17/19 10:35,Running,14.21,962,1:34:00,146,180,178,196,6:37,4:34,819,814,1.36,05:08.2,15
Running,2/16/19 10:33,Baltimore Running,9.5,507,1:05:01,128,156,180,206,6:51,4:11,750,745,1.3,06:08.0,10
Running,2/15/19 16:35,Baltimore Running,10.08,917,1:11:27,159,177,176,188,7:05,5:58,492,488,1.29,06:49.5,11
Running,2/14/19 17:35,Baltimore Running,4.02,281,0:30:17,133,150,176,198,7:32,6:26,224,186,1.21,07:19.5,5
Running,2/14/19 16:53,Baltimore Running,4.58,150,0:23:10,115,152,190,210,5:03,3:54,105,112,1.67,04:48.3,5
Running,2/14/19 16:28,Baltimore Running,2.08,136,0:13:47,133,157,182,192,6:37,4:47,84,117,1.34,06:24.1,3
Running,2/13/19 17:03,Baltimore Running,11.31,"1,052",1:18:09,166,195,180,192,6:55,5:47,"1,101","1,091",1.3,06:27.5,12
Running,2/12/19 17:31,Baltimore Running,2.79,202,0:24:47,126,146,172,182,8:53,8:06,155,66,1.06,08:40.3,3
Running,2/12/19 16:58,Baltimore Running,4.04,304,0:22:37,164,178,186,196,5:36,5:02,34,38,1.55,05:19.4,5
Running,2/12/19 16:34,Baltimore Running,2.12,119,0:14:26,123,144,182,194,6:49,0:25,114,96,1.31,06:39.1,3
Running,2/12/19 16:31,Baltimore Running,0.29,15,02:07.2,113,131,182,188,7:15,6:57,--,18,1.22,00:00.0,1
Running,2/11/19 16:42,Baltimore Running,3.07,243,0:22:52,140,161,176,188,7:26,5:50,236,232,1.23,07:09.3,4
Running,2/11/19 9:17,Baltimore Running,10,761,1:12:35,146,176,176,206,7:15,5:28,887,890,1.26,07:00.8,11
Running,2/10/19 9:36,Baltimore County Running,16.01,896,1:43:30,140,164,178,186,6:28,5:23,"1,061","1,062",1.4,05:55.1,17
Running,2/9/19 10:55,Baltimore Running,10,618,1:09:57,139,180,178,188,7:00,5:47,618,616,1.29,06:31.3,11
Running,2/8/19 17:51,Running,3.1,--,0:15:48,--,--,--,--,5:06,--,--,--,0,00:00.0,1
Running,2/8/19 11:37,Annapolis Running,3.03,322,0:25:14,157,179,172,182,8:19,5:51,68,67,1.12,08:15.9,4
Running,2/8/19 10:25,Annapolis Running,2.5,186,0:17:25,141,167,178,190,6:59,2:08,38,39,1.3,07:04.1,3
Running,2/7/19 16:30,Baltimore Running,8.09,522,1:00:20,137,161,174,192,7:27,4:28,393,395,1.24,06:25.8,9
Running,2/6/19 16:39,Baltimore Running,3.02,243,0:20:31,150,184,180,190,6:48,5:40,119,118,1.31,06:45.4,4
Running,2/6/19 9:52,Baltimore Running,11,844,1:18:54,157,180,176,184,7:10,6:17,"1,054","1,065",1.28,06:57.0,12
Running,2/5/19 17:29,Baltimore Running,2.03,154,0:17:37,129,144,172,202,8:42,6:18,133,100,1.07,08:16.8,3
Running,2/5/19 16:52,Baltimore Running,3.82,251,0:18:50,165,193,190,214,4:56,3:42,96,112,1.73,05:04.5,4
Running,2/5/19 16:28,Baltimore Running,2.07,140,0:13:58,136,161,178,186,6:44,5:12,71,104,1.35,06:17.0,3
Running,2/4/19 9:09,Baltimore Running,11,514,1:13:57,127,178,180,196,6:43,4:11,780,782,1.33,06:29.9,12
Running,2/3/19 9:56,Philadelphia Running,15.01,982,1:45:34,146,178,178,186,7:02,4:39,643,645,1.29,06:16.0,16
Running,2/2/19 17:13,Philadelphia Running,4.18,242,0:34:14,123,134,174,180,8:12,5:16,190,190,1.13,07:59.3,5
Running,2/1/19 18:43,New York Running,1.39,121,0:11:55,138,153,172,182,8:33,2:01,54,54,1.1,08:26.6,2
Running,2/1/19 17:13,New York Running,2.78,194,0:19:57,137,159,178,196,7:10,0:26,132,121,1.26,06:43.7,3
Running,1/29/19 17:39,Baltimore Running,4.35,515,0:33:57,180,195,176,198,7:49,6:50,198,162,1.18,00:00.0,5
Running,1/29/19 17:27,Baltimore Running,0.76,57,03:46.9,179,193,192,204,4:58,4:36,23,29,1.69,00:00.0,1
Running,1/29/19 17:21,Baltimore Running,0.76,54,03:41.0,177,193,194,198,4:50,4:24,36,41,1.72,00:00.0,1
Running,1/29/19 17:16,Baltimore Running,0.75,55,03:41.9,176,186,192,198,4:54,4:38,35,42,1.71,00:00.0,1
Running,1/29/19 17:10,Baltimore Running,0.75,54,03:45.3,170,181,192,196,4:58,4:41,38,41,1.69,00:00.0,1
Running,1/29/19 17:04,Baltimore Running,0.75,53,03:48.3,164,176,192,198,5:02,4:46,35,41,1.66,00:00.0,1
Running,1/29/19 16:59,Baltimore Running,0.76,51,03:50.0,159,170,194,200,5:02,4:44,39,41,1.65,00:00.0,1
Running,1/29/19 16:31,Baltimore Running,2.06,186,0:14:36,154,181,180,192,7:06,5:04,73,113,1.25,00:00.0,3
Running,1/28/19 16:52,Baltimore Running,10,683,1:11:26,144,174,176,188,7:08,5:56,679,685,1.28,00:00.0,11
Cardio,1/28/19 12:29,Cardio,0.06,11,02:01.1,102,118,122,124,1.6,4.1,--,--,0.36,00:00.0,1
Running,1/27/19 10:58,Baltimore Running,15.55,"1,210",1:41:57,157,186,178,190,6:33,4:43,827,822,1.37,00:00.0,16
Running,1/26/19 10:48,Baltimore Running,10.25,699,1:13:52,141,162,178,190,7:13,5:13,971,962,1.26,00:00.0,11
Running,1/25/19 21:55,Running,3.1,--,0:15:40,--,--,--,--,5:03,--,--,--,0,00:00.0,1
Running,1/25/19 19:13,Fairfax County Running,3.55,325,0:26:43,151,173,174,192,7:32,6:34,264,265,1.23,00:00.0,4
Running,1/25/19 17:52,Fairfax County Running,2.49,197,0:17:44,144,182,178,194,7:08,4:24,179,184,1.27,00:00.0,3
Cardio,1/24/19 16:57,Cardio,0,6,02:19.3,78,98,172,172,0.1,8.1,--,--,0.01,00:00.0,1
Running,1/24/19 15:17,Baltimore Running,7.01,455,0:49:35,139,160,178,208,7:04,4:19,411,412,1.28,00:00.0,8
Running,1/23/19 15:58,Baltimore Running,10.04,847,1:16:18,151,156,172,182,7:36,6:09,664,658,1.23,00:00.0,11
Running,1/22/19 16:09,Baltimore Running,3.52,380,0:27:09,165,180,176,194,7:43,6:35,167,143,1.19,00:00.0,4
Running,1/22/19 15:54,Baltimore Running,1.51,98,07:16.7,161,177,194,200,4:50,4:27,44,50,1.71,00:00.0,2
Running,1/22/19 15:35,Baltimore Running,3.03,199,0:15:34,155,190,190,198,5:08,4:43,77,81,1.65,00:00.0,4
Running,1/22/19 15:11,Baltimore Running,2.1,145,0:14:32,134,154,178,194,6:56,4:30,87,130,1.3,00:00.0,3
Running,1/22/19 15:10,Baltimore Running,0,--,00:00.2,92,92,--,--,3:06,4:11,--,--,0,00:00.0,1
Running,1/21/19 15:16,Baltimore Running,10.04,617,1:09:26,138,157,178,190,6:55,5:58,534,527,1.31,00:00.0,11
Running,1/20/19 10:48,Baltimore Running,14.25,"1,060",1:34:50,153,177,180,192,6:39,5:07,793,793,1.35,00:00.0,15
Running,1/19/19 15:37,Baltimore Running,10.03,660,1:09:49,141,167,178,196,6:58,4:31,799,809,1.3,00:00.0,11
Running,1/18/19 16:25,Baltimore Running,1.85,128,0:15:34,124,152,174,198,8:25,6:33,115,77,1.1,00:00.0,2
Running,1/18/19 16:23,Baltimore Running,0.26,7,01:08.6,109,130,200,208,4:24,4:10,12,15,1.83,00:00.0,1
Running,1/18/19 16:20,Baltimore Running,0.25,7,01:10.6,112,135,200,208,4:38,4:12,12,15,1.74,00:00.0,1
Running,1/18/19 16:18,Baltimore Running,0.25,7,01:06.9,112,134,202,206,4:27,4:13,13,15,1.79,00:00.0,1
Running,1/18/19 16:16,Baltimore Running,0.26,8,01:07.6,119,125,200,204,4:20,4:13,13,15,1.86,00:00.0,1
Running,1/18/19 16:09,Baltimore Running,0.75,31,03:46.3,122,131,194,202,5:00,4:28,22,29,1.66,00:00.0,1
Running,1/18/19 16:03,Baltimore Running,0.75,29,03:47.4,119,123,192,200,5:03,4:31,33,38,1.66,00:00.0,1
Running,1/18/19 15:58,Baltimore Running,0.5,17,02:25.5,115,123,196,204,4:49,4:30,27,27,1.71,00:00.0,1
Running,1/18/19 15:53,Baltimore Running,0.5,17,02:24.9,113,134,196,200,4:49,4:26,25,26,1.71,00:00.0,1
Running,1/18/19 15:49,Baltimore Running,0.51,16,02:23.0,112,128,194,202,4:41,4:30,24,27,1.77,00:00.0,1
Running,1/18/19 15:24,Baltimore Running,2.21,113,0:14:46,122,145,180,194,6:40,4:34,77,114,1.34,00:00.0,3
Running,1/17/19 18:21,Baltimore Running,8.01,648,0:53:52,155,184,176,184,6:44,3:25,224,230,1.36,00:00.0,9
Running,1/16/19 10:06,Baltimore Running,9.32,934,1:05:14,173,201,180,192,7:00,5:40,627,627,1.27,00:00.0,10
Running,1/15/19 16:21,Baltimore Running,1.99,214,0:17:21,151,176,172,188,8:42,7:24,86,48,1.07,00:00.0,2
Running,1/15/19 16:05,Baltimore Running,1.26,86,06:22.6,160,168,188,194,5:03,4:49,35,41,1.68,00:00.0,2
Running,1/15/19 15:57,Baltimore Running,1.26,90,06:32.3,162,170,188,196,5:13,4:46,42,49,1.63,00:00.0,2
Running,1/15/19 15:49,Baltimore Running,1.26,85,06:32.8,153,163,190,196,5:11,4:54,44,51,1.64,00:00.0,2
Running,1/15/19 15:41,Baltimore Running,1.27,83,06:32.1,152,175,190,198,5:08,4:43,31,38,1.64,00:00.0,2
Running,1/15/19 15:15,Baltimore Running,2.11,152,0:14:06,138,166,180,194,6:42,4:34,89,125,1.34,00:00.0,3
Running,1/14/19 15:36,Baltimore Running,9.62,744,1:01:46,155,183,180,194,6:25,5:18,497,494,1.39,00:00.0,10
Running,1/14/19 10:36,Baltimore Running,2.13,145,0:14:45,132,150,184,192,6:56,5:41,169,162,1.27,00:00.0,3
Running,1/13/19 9:19,Baltimore Running,13,"1,057",1:35:11,152,172,174,180,7:19,6:26,680,680,1.27,00:00.0,13
Running,1/12/19 13:58,New York Running,2.45,216,0:19:58,140,152,176,182,8:08,3:57,7,7,1.13,00:00.0,3
Running,1/12/19 13:30,Running,3.1,--,0:16:16,--,--,--,--,5:15,--,--,--,0,00:00.0,1
Running,1/12/19 12:32,New York Running,2.45,207,0:17:35,145,179,178,192,7:11,5:09,11,13,1.26,00:00.0,3
Cardio,1/11/19 16:28,Cardio,0,6,02:02.6,85,96,170,170,0.1,6.5,--,--,0.01,00:00.0,1
Running,1/11/19 15:21,Baltimore Running,7,505,0:52:26,140,154,174,188,7:29,5:51,330,331,1.23,00:00.0,7
Running,1/10/19 16:04,Baltimore Running,4.06,421,0:28:14,172,188,176,184,6:57,5:20,178,141,1.31,00:00.0,5
Running,1/10/19 15:42,Baltimore Running,3.04,289,0:18:31,181,192,182,208,6:06,4:27,64,69,1.45,00:00.0,4
Running,1/10/19 15:16,Baltimore Running,2.06,188,0:14:04,158,188,178,196,6:49,4:41,73,107,1.33,00:00.0,3
Running,1/9/19 10:14,Baltimore Running,8.05,640,0:56:30,148,171,178,190,7:01,5:50,695,689,1.29,00:00.0,9
Running,1/8/19 16:44,Baltimore Running,1.18,140,0:10:47,152,175,172,188,9:07,7:32,80,43,1.03,00:00.0,2
Running,1/8/19 15:56,Baltimore Running,4.56,311,0:25:35,148,181,184,210,5:36,4:06,159,164,1.55,00:00.0,5
Running,1/8/19 15:31,Baltimore Running,2.09,192,0:14:23,157,188,176,190,6:53,5:12,77,113,1.32,00:00.0,3
Running,1/7/19 15:30,Baltimore Running,10,736,1:01:28,151,183,180,192,6:09,5:23,526,530,1.47,00:00.0,11
Cardio,1/7/19 10:36,Cardio,0.02,13,03:15.6,92,110,114,122,0.4,4.6,--,--,0.1,00:00.0,1
Running,1/6/19 11:04,Baltimore Other,11.99,901,1:29:15,144,180,--,--,7:27,6:14,821,821,0,00:00.0,12
Running,1/5/19 11:32,Running,8,--,0:56:00,--,--,--,--,7:00,--,--,--,0,00:00.0,1
Running,1/4/19 11:49,Voorhees Running,2.23,217,0:16:17,155,182,174,180,7:18,6:46,62,63,1.27,00:00.0,3
Running,1/4/19 11:13,Voorhees Running,4,296,0:22:17,155,164,182,192,5:34,5:10,84,81,1.59,00:00.0,4
Running,1/4/19 10:43,Voorhees Running,2.01,172,0:14:36,145,179,176,184,7:15,4:51,28,25,1.26,00:00.0,3
Running,1/3/19 11:26,Cherry Hill Running,8.01,437,0:53:33,128,176,174,182,6:41,5:41,313,313,1.38,00:00.0,9
Running,1/2/19 11:29,Cherry Hill Running,8.01,568,0:57:47,137,166,174,180,7:13,5:50,256,245,1.28,00:00.0,9
Running,1/1/19 12:07,Cherry Hill Running,7,630,0:47:37,158,170,172,180,6:48,4:14,219,223,1.38,00:00.0,8
Running,12/31/18 14:41,Cherry Hill Running,7.07,570,0:53:51,144,168,172,180,7:37,5:34,174,181,1.23,00:00.0,8
Running,12/30/18 10:40,Cherry Hill Running,8.51,796,0:58:23,161,184,174,184,6:52,5:54,278,281,1.34,00:00.0,9
Running,12/29/18 16:45,Voorhees Running,7.56,624,0:57:44,143,178,172,182,7:38,6:39,176,176,1.23,00:00.0,8
Running,12/27/18 8:47,Cherry Hill Running,5,395,0:36:54,140,165,174,180,7:23,5:53,138,142,1.26,00:00.0,5
Running,12/24/18 10:45,Cherry Hill Running,5.29,458,0:37:54,148,164,176,182,7:10,6:33,142,146,1.28,00:00.0,6
Running,11/30/18 16:43,Baltimore Running,4.98,371,0:36:41,138,173,172,184,7:22,3:55,279,279,1.26,00:00.0,5
Running,11/29/18 16:28,Baltimore Running,7.9,512,0:55:10,138,164,174,184,6:59,4:52,900,879,1.33,00:00.0,8
Running,11/27/18 17:38,Baltimore Running,1.17,110,09:47.8,138,150,174,196,8:21,4:02,80,44,1.11,00:00.0,2
Treadmill Running,11/27/18 17:30,Treadmill Running,0.35,19,01:50.2,134,145,196,204,5:16,4:23,--,--,1.56,00:00.0,1
Treadmill Running,11/27/18 17:26,Treadmill Running,0.34,20,01:47.8,138,147,194,198,5:13,4:44,--,--,1.59,00:00.0,1
Treadmill Running,11/27/18 17:23,Treadmill Running,0.34,18,01:47.7,128,139,194,202,5:16,4:43,--,--,1.57,00:00.0,1
Treadmill Running,11/27/18 17:19,Treadmill Running,0.47,25,02:31.5,131,147,190,196,5:21,4:49,--,--,1.58,00:00.0,1
Treadmill Running,11/27/18 17:14,Treadmill Running,0.46,26,02:26.0,136,148,192,198,5:17,4:45,--,--,1.59,00:00.0,1
Treadmill Running,11/27/18 17:10,Treadmill Running,0.46,27,02:25.7,138,146,192,196,5:17,4:49,--,--,1.59,00:00.0,1
Treadmill Running,11/27/18 17:06,Treadmill Running,0.46,25,02:24.5,132,142,192,198,5:14,4:46,--,--,1.6,00:00.0,1
Treadmill Running,11/27/18 17:01,Treadmill Running,0.46,25,02:24.4,133,152,192,200,5:15,4:45,--,--,1.6,00:00.0,1
Treadmill Running,11/27/18 16:54,Treadmill Running,0.95,56,05:09.4,135,144,188,194,5:25,4:54,--,--,1.58,00:00.0,1
Running,11/27/18 16:31,Baltimore Running,2.09,144,0:13:57,133,156,178,190,6:41,4:16,73,108,1.35,00:00.0,3
Running,11/26/18 16:29,Baltimore Running,9.01,658,1:00:41,150,181,176,186,6:44,5:14,526,525,1.36,00:00.0,10
Running,11/25/18 16:05,Baltimore Running,11.94,711,1:26:31,137,166,174,186,7:15,5:32,722,718,1.27,00:00.0,12
Running,11/24/18 9:43,Haddon Running,1.62,180,0:13:36,153,168,168,192,8:25,7:17,27,24,1.14,00:00.0,2
Running,11/24/18 9:16,Haddon Running,3.13,209,0:16:03,151,161,186,210,5:08,4:15,37,37,1.69,00:00.0,4
Running,11/24/18 8:27,Haddon Running,2.17,184,0:14:51,149,182,176,188,6:50,2:06,49,45,1.34,00:00.0,3
Running,11/21/18 10:57,Voorhees Running,1.53,131,0:10:37,146,161,176,182,6:56,6:17,33,40,1.32,00:00.0,2
Running,11/20/18 15:15,Cherry Hill Running,6.94,457,0:47:12,135,182,176,196,6:48,5:48,126,128,1.35,00:00.0,7
Running,11/19/18 10:33,Voorhees Running,7.44,520,0:52:08,139,165,176,184,7:01,5:54,191,209,1.31,00:00.0,8
Running,11/13/18 17:31,Baltimore Running,1.8,187,0:14:04,156,191,172,186,7:48,7:05,143,61,1.2,00:00.0,2
Running,11/13/18 17:11,Baltimore Running,2.72,177,0:14:22,147,157,182,190,5:17,4:54,24,28,1.68,00:00.0,3
Running,11/13/18 16:56,Baltimore Running,2.7,159,0:14:15,140,148,186,194,5:16,5:04,30,31,1.64,00:00.0,3
Running,11/13/18 16:30,Baltimore Running,2.05,127,0:14:03,127,143,176,188,6:51,5:06,51,142,1.33,00:00.0,3
Running,11/11/18 10:14,Baltimore Running,14,822,1:42:02,136,178,174,186,7:17,5:34,735,829,1.28,00:00.0,14
Running,11/8/18 16:28,Baltimore Running,7.54,674,0:51:39,160,198,176,206,6:51,4:10,465,462,1.34,00:00.0,8
Running,11/6/18 17:31,Baltimore Running,1.19,148,0:10:33,164,186,168,182,8:51,7:24,74,38,1.08,00:00.0,2
Running,11/6/18 17:18,Baltimore Running,1.28,96,06:31.3,172,189,186,192,5:05,4:54,44,51,1.71,00:00.0,2
Running,11/6/18 17:10,Baltimore Running,1.29,96,06:32.2,172,186,186,192,5:04,4:49,34,40,1.71,00:00.0,2
Running,11/6/18 17:03,Baltimore Running,1.28,86,06:32.3,155,188,186,192,5:05,4:52,33,43,1.69,00:00.0,2
Running,11/6/18 16:55,Baltimore Running,1.3,71,06:29.4,137,156,190,196,4:59,4:35,53,59,1.71,00:00.0,2
Running,11/6/18 16:30,Baltimore Running,1.89,125,0:12:43,130,150,176,190,6:44,4:49,81,115,1.36,00:00.0,2
Running,11/5/18 16:38,Baltimore Running,8,436,0:48:51,130,164,178,186,6:06,5:00,608,600,1.48,00:00.0,9
Running,11/4/18 10:16,Baltimore Running,12.17,908,1:18:46,152,173,178,192,6:28,4:41,779,798,1.39,00:00.0,13
Running,11/3/18 10:01,Baltimore Running,6.03,447,0:47:24,136,153,172,180,7:52,5:20,331,322,1.19,00:00.0,7
Running,11/2/18 16:13,Baltimore Running,5.07,346,0:36:38,134,152,174,182,7:14,3:28,321,314,1.29,00:00.0,6
